YEAR,LOCATION,AGE_GROUP,METRIC,Sum(FINES),Sum(ARRESTS),Sum(CHARGES)
2023,Major Cities of Australia,26-39,non_wearing_seatbelts,6574,0,76
2023,Major Cities of Australia,26-39,speed_fines,288588,0,333
2023,Major Cities of Australia,26-39,unlicensed_driving,5284,118,8710
2023,Major Cities of Australia,40-64,mobile_phone_use,13387,0,38
2023,Major Cities of Australia,40-64,non_wearing_seatbelts,5976,0,38
2023,Major Cities of Australia,40-64,speed_fines,443158,0,150
2023,Major Cities of Australia,40-64,unlicensed_driving,2941,54,5577
2023,Major Cities of Australia,65 and over,mobile_phone_use,1591,0,1
2023,Major Cities of Australia,65 and over,non_wearing_seatbelts,1386,0,5
2023,Major Cities of Australia,65 and over,speed_fines,123735,0,1
2023,Major Cities of Australia,65 and over,unlicensed_driving,227,0,272
2023,Major Cities of Australia,All Age,mobile_phone_use,15814,0,0
2023,Major Cities of Australia,All Age,non_wearing_seatbelts,9134,0,0
2023,Major Cities of Australia,All Age,speed_fines,215222,0,0
2023,Major Cities of Australia,All Age,unlicensed_driving,14,0,1
2023,Outer Regional Australia,0-16,mobile_phone_use,0,0,1
2023,Outer Regional Australia,0-16,non_wearing_seatbelts,10,0,0
2023,Outer Regional Australia,0-16,speed_fines,16,0,4
2023,Outer Regional Australia,0-16,unlicensed_driving,12,0,92
2023,Outer Regional Australia,17-25,mobile_phone_use,163,0,3
2023,Outer Regional Australia,17-25,non_wearing_seatbelts,373,0,5
2023,Outer Regional Australia,17-25,speed_fines,7193,0,26
2023,Outer Regional Australia,17-25,unlicensed_driving,248,0,473
2023,Outer Regional Australia,26-39,mobile_phone_use,307,0,1
2023,Outer Regional Australia,26-39,non_wearing_seatbelts,625,0,8
2023,Outer Regional Australia,26-39,speed_fines,15133,0,30
2023,Outer Regional Australia,26-39,unlicensed_driving,592,0,926
2023,Outer Regional Australia,40-64,mobile_phone_use,255,0,0
2023,Outer Regional Australia,40-64,non_wearing_seatbelts,559,0,5
2023,Outer Regional Australia,40-64,speed_fines,20054,0,17
2023,Outer Regional Australia,40-64,unlicensed_driving,399,0,581
2023,Outer Regional Australia,65 and over,mobile_phone_use,42,0,0
2023,Outer Regional Australia,65 and over,non_wearing_seatbelts,177,0,3
2023,Outer Regional Australia,65 and over,speed_fines,6599,0,4
2023,Outer Regional Australia,65 and over,unlicensed_driving,46,0,59
2023,Outer Regional Australia,All Age,mobile_phone_use,8,0,0
2023,Outer Regional Australia,All Age,non_wearing_seatbelts,20,0,0
2023,Outer Regional Australia,All Age,speed_fines,4049,0,0
2023,Outer Regional Australia,All Age,unlicensed_driving,2,0,0
2023,Remote Australia,0-16,unlicensed_driving,4,0,8
2023,Remote Australia,17-25,mobile_phone_use,3,0,1
2023,Remote Australia,17-25,non_wearing_seatbelts,23,0,1
2023,Remote Australia,17-25,speed_fines,323,0,8
2023,Remote Australia,17-25,unlicensed_driving,16,0,88
2023,Remote Australia,26-39,mobile_phone_use,11,0,0
2023,Remote Australia,26-39,non_wearing_seatbelts,34,0,2
2023,Remote Australia,26-39,speed_fines,655,0,4
2023,Remote Australia,26-39,unlicensed_driving,24,0,137
2023,Remote Australia,40-64,mobile_phone_use,2,0,0
2023,Remote Australia,40-64,non_wearing_seatbelts,56,0,0
2023,Remote Australia,40-64,speed_fines,817,0,3
2023,Remote Australia,40-64,unlicensed_driving,14,0,80
2023,Remote Australia,65 and over,mobile_phone_use,2,0,0
2023,Remote Australia,65 and over,non_wearing_seatbelts,14,0,0
2023,Remote Australia,65 and over,speed_fines,248,0,0
2023,Remote Australia,65 and over,unlicensed_driving,0,0,5
2023,Remote Australia,All Age,speed_fines,2,0,0
2023,Very Remote Australia,0-16,speed_fines,1,0,0
2023,Very Remote Australia,0-16,unlicensed_driving,0,0,1
2023,Very Remote Australia,17-25,mobile_phone_use,2,0,0
2023,Very Remote Australia,17-25,non_wearing_seatbelts,8,0,1
2023,Very Remote Australia,17-25,speed_fines,46,0,0
2023,Very Remote Australia,17-25,unlicensed_driving,2,0,29
2023,Very Remote Australia,26-39,mobile_phone_use,1,0,0
2023,Very Remote Australia,26-39,non_wearing_seatbelts,16,0,1
2023,Very Remote Australia,26-39,speed_fines,91,0,1
2023,Very Remote Australia,26-39,unlicensed_driving,8,0,56
2023,Very Remote Australia,40-64,mobile_phone_use,2,0,0
2023,Very Remote Australia,40-64,non_wearing_seatbelts,7,0,1
2023,Very Remote Australia,40-64,speed_fines,83,0,0
2023,Very Remote Australia,40-64,unlicensed_driving,5,0,22
